Ecosystem,Namespace,Name,Version,Artifact,Published,Detected
npm,@ornikar,intl-config,10.0.2,,2026-08-04T10:19:10.684Z,2026-08-04T10:24:14.667Z
npm,@ornikar,typed-css-modules-loader,0.8.2,,2026-08-04T10:19:10.643Z,2026-08-04T10:24:19.184Z
npm,@ornikar,typed-css-modules-loader,0.8.3,,2026-08-04T10:19:41.536Z,2026-08-04T10:24:23.927Z
npm,,pob-test-typescript-package-in-monorepo,4.2.3,,2026-08-04T10:19:41.733Z,2026-08-04T10:24:46.797Z
npm,@hubsync,web-sdk-react,6.3.20,,2026-08-04T10:23:26.815Z,2026-08-04T10:25:01.699Z
npm,@hubsync,web-sdk-react,6.3.19,,2026-08-04T10:22:30.944Z,2026-08-04T10:25:02.195Z
npm,@ornikar,graphql-config,1.1.3,,2026-08-04T10:19:41.528Z,2026-08-04T10:24:35.284Z
npm,@ornikar,react-native-svg-transformer,1.0.7,,2026-08-04T10:19:41.409Z,2026-08-04T10:24:15.331Z
npm,@ornikar,react-modern-calendar-datepicker,3.2.2,,2026-08-04T10:19:41.374Z,2026-08-04T10:24:15.009Z
npm,@ornikar,react-modern-calendar-datepicker,3.2.1,,2026-08-04T10:19:10.586Z,2026-08-04T10:24:15.686Z
npm,@ornikar,apollo-link-timeout,1.4.3,,2026-08-04T10:19:41.589Z,2026-08-04T10:24:27.034Z
npm,@ornikar,slate-react-fork,1.0.2,,2026-08-04T10:19:41.995Z,2026-08-04T10:24:36.428Z
npm,@ornikar,apollo-link-timeout,1.4.2,,2026-08-04T10:19:10.686Z,2026-08-04T10:24:22.660Z
npm,@ornikar,graphql-config,1.1.1,,2026-08-04T10:19:10.390Z,2026-08-04T10:24:24.885Z
npm,@ornikar,graphql-config,1.1.2,,2026-08-04T10:19:26.242Z,2026-08-04T10:24:22.698Z
npm,@ornikar,react-native-svg-transformer,1.0.6,,2026-08-04T10:19:10.654Z,2026-08-04T10:24:14.250Z
npm,@ornikar,eslint-config-node,12.2.2,,2026-08-04T10:19:41.607Z,2026-08-04T10:24:23.615Z
npm,@ornikar,slate-react-fork,1.0.1,,2026-08-04T10:19:11.320Z,2026-08-04T10:24:28.237Z
npm,@ornikar,eslint-config-node,12.2.1,,2026-08-04T10:19:10.730Z,2026-08-04T10:24:23.998Z
npm,,pob-test-typescript-package-in-monorepo,4.2.1,,2026-08-04T10:19:10.614Z,2026-08-04T10:24:27.076Z
npm,,babel-plugin-linaria-css-to-undefined,0.3.2,,2026-08-04T10:19:41.471Z,2026-08-04T10:24:21.121Z
npm,@ornikar,kitt2,1.0.2,,2026-08-04T10:19:41.666Z,2026-08-04T10:24:23.107Z
npm,,babel-plugin-linaria-css-to-undefined,0.3.1,,2026-08-04T10:19:10.376Z,2026-08-04T10:24:15.628Z
npm,@ornikar,kitt2,1.0.1,,2026-08-04T10:19:10.858Z,2026-08-04T10:24:20.430Z
npm,,pob-test-typescript-package-in-monorepo,4.2.2,,2026-08-04T10:19:26.333Z,2026-08-04T10:24:15.117Z
npm,@ornikar,eslint-config-typescript-react,24.0.1,,2026-08-04T10:19:10.458Z,2026-08-04T10:25:19.374Z
npm,@ornikar,rollup-plugin-postcss,2.0.7,,2026-08-04T10:19:41.500Z,2026-08-04T10:25:32.093Z
npm,@ornikar,jest-config-react,18.0.4,,2026-08-04T10:19:41.559Z,2026-08-04T10:25:27.038Z
npm,@ornikar,jest-config-react-native,17.0.4,,2026-08-04T10:19:41.852Z,2026-08-04T10:25:38.785Z
npm,@ornikar,jest-config-react,18.0.3,,2026-08-04T10:19:26.544Z,2026-08-04T10:25:32.339Z
npm,@ornikar,jest-config-react-native,17.0.3,,2026-08-04T10:19:26.596Z,2026-08-04T10:25:31.681Z
npm,@ornikar,repo-config-react,13.0.8,,2026-08-04T10:19:10.452Z,2026-08-04T10:25:22.336Z
npm,@ornikar,repo-config-react,13.0.10,,2026-08-04T10:19:41.469Z,2026-08-04T10:25:17.976Z
npm,@ornikar,repo-config-react-legacy-css,15.1.4,,2026-08-04T10:19:41.585Z,2026-08-04T10:25:18.524Z
npm,@ornikar,renovate-config,9.0.4,,2026-08-04T10:19:41.326Z,2026-08-04T10:25:15.372Z
npm,@ornikar,repo-config-react,13.0.9,,2026-08-04T10:19:26.624Z,2026-08-04T10:25:27.003Z
npm,@ornikar,jest-config-react-native,17.0.2,,2026-08-04T10:19:10.536Z,2026-08-04T10:25:36.869Z
npm,@ornikar,rollup-plugin-postcss,2.0.6,,2026-08-04T10:19:26.484Z,2026-08-04T10:25:39.211Z
npm,@ornikar,jest-config-react,18.0.2,,2026-08-04T10:19:10.532Z,2026-08-04T10:25:26.486Z
npm,@ornikar,repo-config-react-legacy-css,15.1.3,,2026-08-04T10:19:26.970Z,2026-08-04T10:25:32.735Z
npm,@ornikar,rollup-plugin-postcss,2.0.5,,2026-08-04T10:19:10.572Z,2026-08-04T10:25:31.827Z
npm,@ornikar,monorepo-config,14.3.3,,2026-08-04T10:19:26.516Z,2026-08-04T10:25:16.950Z
npm,@ornikar,renovate-config,9.0.3,,2026-08-04T10:19:26.554Z,2026-08-04T10:25:16.045Z
npm,@ornikar,repo-config-react-legacy-css,15.1.2,,2026-08-04T10:19:10.361Z,2026-08-04T10:25:20.130Z
npm,@ornikar,renovate-config,9.0.2,,2026-08-04T10:19:10.358Z,2026-08-04T10:25:15.780Z
npm,@ornikar,babel-preset-base,6.0.4,,2026-08-04T10:19:26.611Z,2026-08-04T10:25:34.010Z
npm,@ornikar,eslint-plugin-ornikar,24.0.1,,2026-08-04T10:19:10.667Z,2026-08-04T10:25:19.973Z
npm,@ornikar,babel-preset-base,6.0.5,,2026-08-04T10:19:41.601Z,2026-08-04T10:26:04.018Z
npm,@ornikar,repo-config,15.3.5,,2026-08-04T10:19:41.823Z,2026-08-04T10:25:18.169Z
npm,@ornikar,eslint-config-typescript-react,24.0.3,,2026-08-04T10:19:41.493Z,2026-08-04T10:25:18.873Z
npm,@ornikar,jest-config,13.0.4,,2026-08-04T10:19:26.414Z,2026-08-04T10:25:27.918Z
npm,@ornikar,jest-config,13.0.5,,2026-08-04T10:19:41.728Z,2026-08-04T10:25:28.225Z
npm,@ornikar,eslint-config-typescript-react,24.0.2,,2026-08-04T10:19:26.678Z,2026-08-04T10:25:20.070Z
npm,@ornikar,prettier-config,9.0.4,,2026-08-04T10:19:26.524Z,2026-08-04T10:25:24.150Z
npm,@ornikar,prettier-config,9.0.3,,2026-08-04T10:19:10.393Z,2026-08-04T10:25:31.907Z
npm,@ornikar,jest-config,13.0.3,,2026-08-04T10:19:10.490Z,2026-08-04T10:25:28.679Z
npm,@ornikar,jest-config-react-native-web,12.0.5,,2026-08-04T10:19:41.651Z,2026-08-04T10:25:15.893Z
npm,@ornikar,babel-preset-base,6.0.3,,2026-08-04T10:19:10.436Z,2026-08-04T10:25:32.448Z
npm,@ornikar,rollup-config,11.1.4,,2026-08-04T10:19:41.620Z,2026-08-04T10:25:36.925Z
npm,@ornikar,repo-config,15.3.3,,2026-08-04T10:19:10.614Z,2026-08-04T10:25:18.899Z
npm,@ornikar,rollup-config,11.1.3,,2026-08-04T10:19:26.551Z,2026-08-04T10:25:30.845Z
npm,@ornikar,jest-config-react-native-web,12.0.3,,2026-08-04T10:19:10.425Z,2026-08-04T10:25:16.502Z
npm,@ornikar,rollup-config,11.1.2,,2026-08-04T10:19:10.527Z,2026-08-04T10:25:38.057Z
npm,@ornikar,repo-config,15.3.4,,2026-08-04T10:19:26.705Z,2026-08-04T10:25:19.648Z
npm,@ornikar,prettier-config,9.0.5,,2026-08-04T10:19:41.488Z,2026-08-04T10:25:25.482Z
npm,@ornikar,jest-config-react-native-web,12.0.4,,2026-08-04T10:19:26.333Z,2026-08-04T10:25:25.535Z
npm,@ornikar,eslint-plugin-ornikar,24.0.3,,2026-08-04T10:19:41.520Z,2026-08-04T10:25:18.443Z
npm,@ornikar,stylelint-config,14.0.3,,2026-08-04T10:19:10.466Z,2026-08-04T10:25:26.361Z
npm,@ornikar,eslint-plugin-ornikar,24.0.2,,2026-08-04T10:19:26.426Z,2026-08-04T10:25:25.561Z
npm,@hubsync,web-sdk-react,6.3.21,,2026-08-04T10:24:08.036Z,2026-08-04T10:25:28.672Z
npm,@ornikar,stylelint-config,14.0.4,,2026-08-04T10:19:26.452Z,2026-08-04T10:25:20.653Z
npm,@ornikar,eslint-config-babel-use,13.2.3,,2026-08-04T10:19:41.922Z,2026-08-04T10:25:32.930Z
npm,@ornikar,eslint-plugin-neverthrow,1.3.1,,2026-08-04T10:19:10.495Z,2026-08-04T10:25:20.795Z
npm,@ornikar,eslint-plugin-neverthrow,1.3.3,,2026-08-04T10:19:41.609Z,2026-08-04T10:25:20.654Z
npm,@ornikar,babel-preset-react,6.1.6,,2026-08-04T10:19:41.468Z,2026-08-04T10:25:25.911Z
npm,@ornikar,monorepo-config,14.3.4,,2026-08-04T10:19:41.420Z,2026-08-04T10:25:18.436Z
npm,@ornikar,prismic-components,0.0.3,,2026-08-04T10:19:26.412Z,2026-08-04T10:25:23.091Z
npm,@ornikar,monorepo-config,14.3.2,,2026-08-04T10:19:10.410Z,2026-08-04T10:25:19.113Z
